epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.148,2.31121,7.23312,1.90062,0.47438,0.21358,0.1782,0.07932,2.1912,6.18086,2.00393,0.000412234,0.000412234,0.000412234
2,32.9269,2.20477,5.66238,1.83803,0.63343,0.25263,0.32855,0.16195,2.17983,5.44087,2.04174,0.000828091,0.000828091,0.000828091
3,46.7401,2.18848,5.22169,1.83495,0.34668,0.35227,0.27146,0.11959,2.21312,5.50899,2.06323,0.00124071,0.00124071,0.00124071
4,60.4989,2.19553,4.91527,1.83803,0.60245,0.32544,0.38167,0.1606,2.09249,4.51225,1.87837,0.00123904,0.00123904,0.00123904
5,74.7147,2.14607,4.64229,1.83296,0.40866,0.46293,0.38498,0.14818,2.27523,4.91386,2.03873,0.00123056,0.00123056,0.00123056
6,88.8362,2.13346,4.4153,1.80424,0.45667,0.45834,0.45724,0.18371,2.05619,3.92244,1.97646,0.00121972,0.00121972,0.00121972
7,102.736,2.10229,4.22825,1.76272,0.32405,0.54449,0.43037,0.1846,2.03086,3.91686,1.82468,0.00120655,0.00120655,0.00120655
8,116.754,2.07838,4.08285,1.75306,0.64127,0.68735,0.61687,0.25527,2.00678,3.58952,1.76626,0.00119111,0.00119111,0.00119111
9,131.117,2.07468,4.03643,1.73281,0.58646,0.51941,0.5721,0.26213,1.94162,3.5999,1.81299,0.00117346,0.00117346,0.00117346
10,145.985,2.05213,3.92347,1.73218,0.60114,0.62156,0.62329,0.27676,1.93705,3.39826,1.79099,0.00115368,0.00115368,0.00115368
11,161.36,2.05207,3.88436,1.72197,0.76149,0.31619,0.45211,0.2044,1.96265,3.89482,1.75388,0.00113183,0.00113183,0.00113183
12,176.187,2.01665,3.758,1.69737,0.58493,0.54251,0.65501,0.30062,1.97013,3.0669,1.79187,0.00110801,0.00110801,0.00110801
13,190.61,2.01639,3.7054,1.70041,0.65783,0.6287,0.71613,0.30856,2.00475,3.191,1.81986,0.0010823,0.0010823,0.0010823
14,204.967,2.00211,3.62528,1.69074,0.67644,0.57996,0.66532,0.30208,2.00286,3.08021,1.72702,0.00105481,0.00105481,0.00105481
15,219.355,1.98362,3.52324,1.67329,0.58691,0.67901,0.68556,0.29321,1.9969,3.11722,1.83112,0.00102566,0.00102566,0.00102566
16,233.561,1.97077,3.44805,1.68582,0.81168,0.64547,0.76314,0.34034,1.89017,2.85666,1.78272,0.000994942,0.000994942,0.000994942
17,250.378,1.98476,3.46197,1.66745,0.78862,0.72953,0.7888,0.35496,1.97156,2.80385,1.78918,0.000962793,0.000962793,0.000962793
18,266.014,1.95708,3.36483,1.65987,0.80426,0.68026,0.79197,0.36374,1.98252,2.79083,1.77576,0.000929335,0.000929335,0.000929335
19,281.452,1.96385,3.35471,1.65917,0.79656,0.73225,0.84127,0.37325,1.98623,2.70853,1.7682,0.000894701,0.000894701,0.000894701
20,296.434,1.92654,3.23297,1.62743,0.77518,0.74808,0.80496,0.40379,2.00042,2.76223,1.7847,0.000859027,0.000859027,0.000859027
21,311.109,1.92833,3.20783,1.62829,0.77217,0.73498,0.79111,0.35511,1.99189,2.69485,1.74214,0.000822454,0.000822454,0.000822454
22,326.224,1.92119,3.22455,1.62756,0.82563,0.72309,0.8175,0.37516,1.94611,2.62468,1.76317,0.000785127,0.000785127,0.000785127
23,340.667,1.91575,3.16464,1.61365,0.81077,0.68071,0.78218,0.36817,1.99306,2.79133,1.73988,0.000747192,0.000747192,0.000747192
24,354.822,1.89062,3.06987,1.61245,0.81298,0.77892,0.87076,0.39519,2.03877,2.67199,1.88032,0.0007088,0.0007088,0.0007088
25,369.303,1.91774,2.99757,1.62124,0.84023,0.76752,0.84312,0.39384,1.94345,2.49278,1.76012,0.000670102,0.000670102,0.000670102
26,383.668,1.88742,2.97757,1.59666,0.82704,0.78092,0.84536,0.40226,1.94321,2.51851,1.70226,0.00063125,0.00063125,0.00063125
27,398.981,1.85703,2.9644,1.58787,0.80876,0.79464,0.85335,0.41396,1.93332,2.46675,1.68393,0.000592398,0.000592398,0.000592398
28,413.401,1.85491,2.85541,1.57843,0.83339,0.74159,0.84144,0.41484,1.94274,2.39684,1.67837,0.0005537,0.0005537,0.0005537
29,428.162,1.83909,2.81995,1.55238,0.80169,0.82355,0.86763,0.4377,1.91366,2.34771,1.69374,0.000515308,0.000515308,0.000515308
30,442.52,1.81896,2.80015,1.55001,0.85108,0.80308,0.87481,0.40608,1.98908,2.37206,1.75371,0.000477373,0.000477373,0.000477373
31,456.757,1.80982,2.68334,1.55412,0.81161,0.87814,0.89386,0.46526,1.86698,2.19538,1.68144,0.000440046,0.000440046,0.000440046
32,471.194,1.80277,2.67331,1.54301,0.85107,0.86705,0.89773,0.46512,1.9457,2.16556,1.68579,0.000403473,0.000403473,0.000403473
33,485.978,1.78505,2.62583,1.53112,0.85413,0.90133,0.92567,0.4654,1.91732,2.17016,1.67449,0.000367799,0.000367799,0.000367799
34,500.425,1.79052,2.63198,1.52656,0.89118,0.82917,0.88964,0.47887,1.92226,2.13125,1.70103,0.000333165,0.000333165,0.000333165
35,515.515,1.76959,2.52792,1.51464,0.85473,0.85685,0.90188,0.46967,1.91708,2.17617,1.68057,0.000299707,0.000299707,0.000299707
36,530.304,1.75185,2.46788,1.5117,0.8482,0.83996,0.89114,0.47764,1.89609,2.09892,1.6909,0.000267558,0.000267558,0.000267558
37,545.064,1.75427,2.46456,1.49761,0.90863,0.82315,0.9195,0.48694,1.8921,2.04189,1.69137,0.000236844,0.000236844,0.000236844
38,560.645,1.76112,2.46417,1.51735,0.86995,0.86837,0.90089,0.48571,1.89589,2.09823,1.69939,0.000207686,0.000207686,0.000207686
39,575.523,1.75051,2.41695,1.50197,0.86219,0.89085,0.9134,0.47712,1.92082,2.03984,1.70221,0.000180201,0.000180201,0.000180201
40,590.705,1.71829,2.3236,1.4751,0.83422,0.8805,0.91159,0.50358,1.87102,2.07842,1.66344,0.000154495,0.000154495,0.000154495
41,633.112,1.73562,2.30987,1.52878,0.85296,0.88107,0.90012,0.48302,1.86095,2.10856,1.66003,0.000130671,0.000130671,0.000130671
42,647.465,1.70393,2.21196,1.5259,0.80015,0.89508,0.91856,0.50813,1.85104,2.02801,1.65744,0.000108822,0.000108822,0.000108822
43,661.653,1.68694,2.13567,1.50399,0.89698,0.84458,0.919,0.51674,1.86933,2.01379,1.67039,8.90352e-05,8.90352e-05,8.90352e-05
44,675.652,1.6826,2.13785,1.5178,0.86192,0.87021,0.91697,0.51259,1.85149,2.03881,1.66342,7.13883e-05,7.13883e-05,7.13883e-05
45,689.849,1.6689,2.10547,1.50378,0.88092,0.87266,0.92546,0.53532,1.83637,1.96083,1.65986,5.59508e-05,5.59508e-05,5.59508e-05
46,704.111,1.66553,2.08948,1.49989,0.86457,0.89224,0.92987,0.55091,1.83035,1.97083,1.65256,4.27838e-05,4.27838e-05,4.27838e-05
47,718.266,1.65848,2.04498,1.49596,0.87105,0.88665,0.92638,0.54602,1.83714,1.96953,1.66016,3.19392e-05,3.19392e-05,3.19392e-05
48,732.561,1.65445,2.02912,1.48527,0.87291,0.88182,0.92848,0.53337,1.84438,1.96235,1.66387,2.34598e-05,2.34598e-05,2.34598e-05
49,747.963,1.65353,2.02871,1.48393,0.86226,0.89519,0.92864,0.53016,1.85258,1.97691,1.67148,1.7379e-05,1.7379e-05,1.7379e-05
